timestamp,key,time_diff
1771235412.6428514,Key.media_volume_up,19.7133
1771235422.1659753,c,9.5231
1771235422.717446,o,0.5515
1771235422.883397,n,0.166
1771235423.070602,t,0.1872
1771235423.2537713,r,0.1832
1771235423.416194,o,0.1624
1771235423.6236167,l,0.2074
1771235423.7556267,l,0.132
1771235423.8461084,e,0.0905
1771235423.961789,r,0.1157
1771235424.1594799,Key.enter,0.1977
1771235434.3967383,s,10.2373
1771235434.609178,e,0.2124
1771235434.7354362,r,0.1263
1771235434.8825018,v,0.1471
1771235435.0543392,i,0.1718
1771235435.347979,c,0.2936
1771235435.476416,e,0.1284
1771235435.808192,Key.enter,0.3318
1771235443.4833336,r,7.6751
1771235443.6840627,e,0.2007
1771235445.4907818,p,1.8067
1771235445.6447484,o,0.154
1771235445.7455173,s,0.1008
1771235445.9487886,i,0.2033
1771235446.5411654,o,0.5924
1771235446.8961308,t,0.355
1771235447.3341901,r,0.4381
1771235448.081286,y,0.7471
1771235449.8649707,Key.backspace,1.7837
1771235450.0415528,Key.backspace,0.1766
1771235450.1974664,Key.backspace,0.1559
1771235450.632199,Key.backspace,0.4347
1771235451.761001,t,1.1288
1771235451.8876069,o,0.1266
1771235452.03536,r,0.1478
1771235452.2014065,y,0.166
1771235452.640735,Key.enter,0.4393
1771235462.546848,m,9.9061
1771235462.7081494,o,0.1613
1771235462.8103418,d,0.1022
1771235462.9924178,e,0.1821
1771235463.1096668,l,0.1172
1771235463.490262,Key.enter,0.3806
1771235479.1988952,c,15.7086
1771235479.3531892,p,0.1543
1771235479.7075856,n,0.3544
1771235480.1092124,Key.backspace,0.4016
1771235480.2608798,Key.backspace,0.1517
1771235480.8230078,o,0.5621
1771235481.0499701,n,0.227
1771235481.160431,f,0.1105
1771235481.3271558,i,0.1667
1771235481.5699263,g,0.2428
1771235481.919814,Key.enter,0.3499
1771235484.0505466,Key.media_next,2.1307
1771235491.0502164,a,6.9997
1771235491.2413647,g,0.1911
1771235491.328038,e,0.0867
1771235491.5017495,n,0.1737
1771235491.7485728,t,0.2468
1771235492.1422856,Key.enter,0.3937
1771235497.0768514,Key.down,4.9346
1771235497.5986104,Key.down,0.5218
1771235497.6288009,Key.down,0.0302
1771235497.659601,Key.down,0.0308
1771235497.6899405,Key.down,0.0303
1771235497.720888,Key.down,0.0309
1771235497.7505705,Key.down,0.0297
1771235497.7813432,Key.down,0.0308
1771235497.8112793,Key.down,0.0299
1771235497.841183,Key.down,0.0299
1771235497.8710089,Key.down,0.0298
1771235497.9021394,Key.down,0.0311
1771235498.2424386,Key.down,0.3403
1771235498.753533,Key.down,0.5111
1771235498.7846766,Key.down,0.0311
1771235498.8157413,Key.down,0.0311
1771235498.8546753,Key.down,0.0389
1771235498.8853939,Key.down,0.0307
