timestamp,key,time_diff
1771418343.1009088,Key.ctrl_l,8.8084
1771418343.5457473,,0.4448
1771418346.3913074,h,2.8456
1771418346.766225,i,0.3749
1771418346.935882,Key.space,0.1697
1771418347.9607475,w,1.0249
1771418348.085938,e,0.1252
1771418348.206734,l,0.1208
1771418348.4407332,c,0.234
1771418348.5305529,o,0.0898
1771418348.639224,m,0.1087
1771418348.790178,e,0.151
1771418348.8855767,Key.space,0.0954
1771418349.0957863,t,0.2102
1771418349.2178733,o,0.1221
1771418349.326477,Key.space,0.1086
1771418349.8743138,v,0.5478
1771418350.0283496,s,0.154
1771418350.2570217,Key.space,0.2287
1771418350.4735603,c,0.2165
1771418350.5930493,o,0.1195
1771418350.791667,d,0.1986
1771418350.9388125,e,0.1471
1771418351.0612342,Key.space,0.1224
1771418353.8180466,i,2.7568
1771418353.954161,a,0.1361
1771418354.078104,m,0.1239
1771418354.1968548,Key.space,0.1188
1771418354.6691983,h,0.4723
1771418354.8116298,e,0.1424
1771418355.0027637,r,0.1911
1771418355.14431,e,0.1415
1771418355.2493625,Key.space,0.1051
1771418355.3425853,t,0.0932
1771418355.4762757,o,0.1337
1771418355.5878382,Key.space,0.1116
1771418355.8373017,l,0.2495
1771418355.9536428,e,0.1163
1771418356.1822884,a,0.2286
1771418356.3019018,r,0.1196
1771418356.494176,n,0.1923
1771418356.6300025,Key.space,0.1358
1771418357.397143,c,0.7671
1771418357.528394,o,0.1313
1771418357.7100759,d,0.1817
1771418357.8729773,i,0.1629
1771418358.019737,n,0.1468
1771418358.1673677,g,0.1476
1771418358.320606,Key.space,0.1532
1771418358.662845,u,0.3422
1771418358.7595942,s,0.0967
1771418358.9841611,i,0.2246
1771418359.127001,n,0.1428
1771418359.2626984,g,0.1357
1771418359.3609915,Key.space,0.0983
1771418359.7456138,p,0.3846
1771418359.9707892,y,0.2252
1771418360.1191964,t,0.1484
1771418360.2109916,h,0.0918
1771418360.3260334,o,0.115
1771418360.4757516,n,0.1497
1771418360.6432004,Key.space,0.1674
