timestamp,key,time_diff
1771409846.8328278,Key.down,29.793
1771409847.3542275,Key.down,0.5214
1771409847.3842564,Key.down,0.03
1771409847.4148293,Key.down,0.0306
1771409847.6221526,Key.down,0.2073
1771409848.1399684,Key.down,0.5178
1771409848.170513,Key.down,0.0305
1771409848.201621,Key.down,0.0311
1771409848.231889,Key.down,0.0303
1771409848.261356,Key.down,0.0295
1771409848.5616202,Key.down,0.3003
1771409849.0864627,Key.down,0.5248
1771409849.1165178,Key.down,0.0301
1771409849.1468694,Key.down,0.0304
1771409849.186393,Key.down,0.0395
1771409849.2167373,Key.down,0.0303
1771409849.2472327,Key.down,0.0305
1771409849.2777987,Key.down,0.0306
1771409849.3082054,Key.down,0.0304
1771409849.540686,Key.down,0.2325
1771409850.0567946,Key.down,0.5161
1771409850.0862346,Key.down,0.0294
1771409850.1165636,Key.down,0.0303
1771409850.1469543,Key.down,0.0304
1771409850.1781805,Key.down,0.0312
1771409850.208411,Key.down,0.0302
1771409850.2404654,Key.down,0.0321
1771409850.2693224,Key.down,0.0289
1771409850.2995267,Key.down,0.0302
1771409850.330053,Key.down,0.0305
1771409850.3665361,Key.down,0.0365
1771409850.39653,Key.down,0.03
1771409850.4270997,Key.down,0.0306
1771409862.5371184,Key.backspace,12.11
1771409863.3132608,p,0.7761
1771409863.5492377,a,0.236
1771409863.7605698,n,0.2113
1771409863.9409325,d,0.1804
1771409864.1825905,a,0.2417
1771409864.4204476,s,0.2379
1771409864.6284554,Key.space,0.208
1771409865.2596622,a,0.6312
1771409865.7109652,v,0.4513
1771409866.4446287,g,0.7337
1771409867.0666957,Key.space,0.6221
1771409867.451232,f,0.3845
1771409867.6022918,u,0.1511
1771409867.8108194,n,0.2085
1771409867.8961902,c,0.0854
1771409868.3357608,t,0.4396
1771409868.467423,i,0.1317
1771409868.6657755,o,0.1984
1771409869.1819396,n,0.5162
1771409869.717057,Key.enter,0.5351
1771409873.5731602,Key.down,3.8561
1771409874.0857158,Key.down,0.5126
1771409874.1157014,Key.down,0.03
1771409874.1460874,Key.down,0.0304
1771409874.1765156,Key.down,0.0304
1771409874.206784,Key.down,0.0303
1771409874.2369978,Key.down,0.0302
1771409874.2672634,Key.down,0.0303
1771409874.3068397,Key.down,0.0396
1771409874.3371322,Key.down,0.0303
1771409874.3679295,Key.down,0.0308
1771409874.397849,Key.down,0.0299
1771409874.4281247,Key.down,0.0303
1771409876.4623122,Key.down,2.0342
1771409876.9328349,Key.down,0.4705
1771409877.8237195,Key.down,0.8909
1771409878.329677,Key.down,0.506
1771409878.3725681,Key.down,0.0429
1771409878.4021375,Key.down,0.0296
1771409878.4325254,Key.down,0.0304
1771409878.4633527,Key.down,0.0308
1771409878.493492,Key.down,0.0301
1771409878.5237172,Key.down,0.0302
1771409878.5543563,Key.down,0.0306
1771409878.584527,Key.down,0.0302
1771409878.614763,Key.down,0.0302
1771409878.6451957,Key.down,0.0304
1771409879.5386274,Key.down,0.8934
1771409880.300049,Key.up,0.7614
1771409880.8208435,Key.up,0.5208
1771409880.8511384,Key.up,0.0303
1771409880.88213,Key.up,0.031
1771409880.9128242,Key.up,0.0307
1771409880.9424214,Key.up,0.0296
1771409880.975328,Key.up,0.0329
1771409881.0033321,Key.up,0.028
1771409881.0347722,Key.up,0.0314
1771409881.0637093,Key.up,0.0289
