timestamp,key,time_diff
1771422328.6109562,Key.ctrl_l,2.5493
1771422329.128461,Key.ctrl_l,0.5175
1771422329.1611507,Key.ctrl_l,0.0327
1771422329.1947808,Key.ctrl_l,0.0336
1771422329.1957867,,0.001
1771422330.6650724,o,1.4693
1771422330.6700735,i,0.005
1771422330.752676,h,0.0826
1771422330.8177965,s,0.0651
1771422330.8467932,d,0.029
1771422330.894757,i,0.048
1771422330.8977573,p,0.003
1771422330.9009418,u,0.0032
1771422330.93494,f,0.034
1771422331.0155408,h,0.0806
1771422331.0530689,s,0.0375
1771422331.1619077,g,0.1088
1771422331.2866416,a,0.1247
1771422331.2928236,s,0.0062
1771422331.3106558,h,0.0178
1771422331.4137514,g,0.1031
1771422331.4228766,;,0.0091
1771422331.4568698,Key.space,0.034
1771422331.5374057,s,0.0805
1771422331.674547,g,0.1371
1771422331.777906,;,0.1034
1771422331.7819061,Key.space,0.004
1771422331.9001622,u,0.1183
1771422331.9644148,h,0.0643
1771422331.9762952,g,0.0119
1771422332.0677812,;,0.0915
1771422332.189595,s,0.1218
1771422332.2539694,h,0.0644
1771422332.260421,g,0.0065
1771422332.3684783,;,0.1081
1771422332.4177177,s,0.0492
1771422332.4940956,u,0.0764
1771422332.5379117,h,0.0438
1771422332.546911,g,0.009
1771422332.6414747,;,0.0946
1771422332.6628757,Key.space,0.0214
1771422332.6925266,k,0.0297
1771422332.8284242,g,0.1359
1771422332.8294153,h,0.001
1771422332.944049,s,0.1146
1771422332.9480364,d,0.004
1771422332.9589667,l,0.0109
1771422332.9761124,i,0.0171
1771422333.072778,h,0.0967
1771422333.1124613,f,0.0397
1771422333.1962507,k,0.0838
1771422333.2132444,z,0.017
1771422333.2202446,s,0.007
1771422333.3169026,h,0.0967
1771422333.3623602,g,0.0455
1771422333.425119,.,0.0628
1771422333.490758,s,0.0656
1771422333.5176053,d,0.0268
1771422333.5891583,h,0.0716
1771422333.6154313,f,0.0263
1771422333.7192094,a,0.1038
1771422333.7372093,s,0.018
1771422333.7522593,i,0.015
1771422333.7635639,l,0.0113
1771422333.8562577,h,0.0927
1771422333.8785813,g,0.0223
1771422333.9816206,Key.space,0.103
1771422334.020428,f,0.0388
1771422334.1070814,f,0.0867
1771422334.1440732,u,0.037
1771422334.1831157,Key.space,0.039
1771422334.2603524,;,0.0772
1771422334.26636,s,0.006
