timestamp,key,time_diff
1771325514.917836,d,30.0434
1771325515.089236,u,0.1714
1771325515.1660879,d,0.0769
1771325515.3523264,e,0.1862
1771325515.4791512,",",0.1268
1771325515.6917105,Key.space,0.2126
1771325516.4804804,l,0.7888
1771325516.708283,o,0.2278
1771325516.8337438,o,0.1255
1771325516.9927213,k,0.159
1771325517.254104,Key.space,0.2614
1771325517.481673,b,0.2276
1771325517.6536279,a,0.172
1771325517.7496352,c,0.096
1771325518.0186765,k,0.269
1771325518.199694,Key.space,0.181
1771325518.308523,a,0.1088
1771325518.4833102,t,0.1748
1771325518.6419575,Key.space,0.1586
1771325518.8539329,o,0.212
1771325519.0521927,u,0.1983
1771325519.2948356,Key.space,0.2426
1771325519.70442,Key.backspace,0.4096
1771325519.776229,r,0.0718
1771325519.9806075,Key.space,0.2044
1771325520.1280797,c,0.1475
1771325521.1551127,o,1.027
1771325521.367742,n,0.2126
1771325521.6201904,v,0.2524
1771325521.8228922,o,0.2027
1771325522.0000834,s,0.1772
1771325522.2685614,Key.space,0.2685
1771325522.5013123,w,0.2328
1771325522.6427774,e,0.1415
1771325522.7890313,Key.space,0.1463
1771325522.941231,h,0.1522
1771325523.0284746,a,0.0872
1771325523.1397314,v,0.1113
1771325523.7120285,e,0.5723
1771325523.8627253,Key.space,0.1507
1771325523.994347,a,0.1316
1771325524.146438,r,0.1521
1771325524.55665,Key.backspace,0.4102
1771325524.783322,l,0.2267
1771325524.9152634,a,0.1319
1771325525.0775638,r,0.1623
1771325525.2296717,e,0.1521
1771325525.7398899,Key.backspace,0.5102
1771325526.0324445,Key.backspace,0.2926
1771325526.2003102,Key.backspace,0.1679
1771325526.473977,e,0.2737
1771325526.7611282,e,0.2872
1771325527.1252587,Key.backspace,0.3641
1771325527.282751,Key.backspace,0.1575
1771325527.405161,r,0.1224
1771325527.526562,e,0.1214
1771325528.1082282,a,0.5817
1771325528.3465495,d,0.2383
1771325528.5128765,y,0.1663
1771325528.66956,Key.space,0.1567
1771325528.912042,d,0.2425
1771325529.0298362,o,0.1178
1771325529.1545975,n,0.1248
1771325529.3823211,t,0.2277
1771325529.4829323,Key.space,0.1006
1771325529.6667216,t,0.1838
1771325529.7771008,h,0.1104
1771325529.9187393,o,0.1416
1771325530.0431755,s,0.1244
1771325530.227354,e,0.1842
1771325530.2875881,Key.space,0.0602
1771325530.505681,t,0.2181
1771325530.5613399,h,0.0557
1771325530.6524122,i,0.0911
1771325530.8041997,n,0.1518
1771325530.999998,g,0.1958
1771325531.0977402,s,0.0977
1771325531.4212515,Key.shift_r,0.3235
1771325531.5990913,?,0.1778
1771325531.998108,Key.space,0.399
1771325533.2502856,t,1.2522
1771325533.3820188,h,0.1317
1771325533.5337193,e,0.1517
1771325533.610251,Key.space,0.0765
1771325533.685304,t,0.0751
1771325533.8673294,h,0.182
1771325533.997028,i,0.1297
1771325534.1086998,n,0.1117
1771325534.3272438,g,0.2185
1771325534.3468142,s,0.0196
1771325534.5392282,Key.space,0.1924
1771325534.7568893,y,0.2177
1771325534.9293673,o,0.1725
1771325535.0396206,u,0.1103
1771325535.152989,r,0.1134
1771325535.3071446,e,0.1542
1771325535.4189074,Key.space,0.1118
1771325535.816601,s,0.3977
1771325536.0310073,a,0.2144
1771325536.110184,y,0.0792
1771325536.3012893,i,0.1911
1771325536.4714394,n,0.1702
1771325536.6686943,g,0.1973
1771325537.0698206,Key.shift_r,0.4011
1771325537.2467217,?,0.1769
1771325549.223694,Key.space,11.977
1771325549.524432,l,0.3007
1771325549.7338011,o,0.2094
1771325549.8768177,o,0.143
1771325550.0625603,o,0.1857
1771325550.3602765,Key.space,0.2977
1771325550.5486414,o,0.1884
1771325550.8484464,v,0.2998
1771325551.26162,Key.backspace,0.4132
1771325551.4342263,Key.backspace,0.1726
1771325551.6060667,Key.backspace,0.1718
1771325551.71312,Key.backspace,0.1071
1771325552.3848553,k,0.6717
1771325552.5885265,Key.space,0.2037
1771325552.7711425,o,0.1826
1771325552.9768434,v,0.2057
1771325553.0475051,e,0.0707
1771325553.1549091,r,0.1074
1771325553.2190473,Key.space,0.0641
1771325553.386209,t,0.1672
1771325553.4831653,h,0.097
1771325553.6749668,e,0.1918
1771325553.6847057,Key.space,0.0097
1771325553.9176745,c,0.233
1771325554.14039,o,0.2227
1771325554.2968788,n,0.1565
1771325554.5550318,v,0.2582
1771325554.7323484,o,0.1773
1771325554.8535955,s,0.1212
1771325554.984395,Key.space,0.1308
1771325555.137105,a,0.1527
1771325555.255748,g,0.1186
1771325555.3767068,a,0.121
1771325555.4821732,i,0.1055
1771325556.1856291,",",0.7035
1771325557.004594,Key.backspace,0.819
1771325557.176422,Key.backspace,0.1718
1771325557.3480265,Key.backspace,0.1716
1771325557.500653,Key.backspace,0.1526
1771325557.6470807,Key.backspace,0.1464
1771325557.7927935,Key.backspace,0.1457
1771325558.360009,Key.backspace,0.5672
1771325558.6379473,Key.space,0.2779
1771325558.8468015,a,0.2089
1771325558.9721017,g,0.1253
1771325559.113903,a,0.1418
1771325559.2049267,i,0.091
1771325559.362168,n,0.1572
1771325559.8520741,.,0.4899
1771325560.094874,Key.enter,0.2428
1771325569.08667,Key.down,8.9918
1771325569.6027577,Key.down,0.5161
1771325569.6332097,Key.down,0.0305
1771325569.6634169,Key.down,0.0302
1771325569.693716,Key.down,0.0303
1771325569.7288916,Key.down,0.0352
1771325569.7592015,Key.down,0.0303
1771325569.7895653,Key.down,0.0304
1771325569.8199296,Key.down,0.0304
1771325570.255152,Key.down,0.4352
1771325571.2220743,Key.down,0.9669
1771325571.7514956,Key.down,0.5294
1771325571.7817893,Key.down,0.0303
1771325571.8120897,Key.down,0.0303
1771325571.8427968,Key.down,0.0307
1771325571.8728125,Key.down,0.03
1771325571.9053159,Key.down,0.0325
1771325571.9349494,Key.down,0.0296
1771325572.3565137,Key.down,0.4216
1771325573.0635772,Key.down,0.7071
1771325573.5787218,Key.down,0.5151
1771325573.6084468,Key.down,0.0297
1771325573.6388803,Key.down,0.0304
1771325573.669299,Key.down,0.0304
1771325573.699549,Key.down,0.0303
1771325573.7299082,Key.down,0.0304
1771325573.7664628,Key.down,0.0366
1771325575.1636004,Key.up,1.3971
1771325575.6791072,Key.up,0.5155
1771325575.7098176,Key.up,0.0307
1771325575.7398982,Key.up,0.0301
1771325575.770219,Key.up,0.0303
1771325575.8065524,Key.up,0.0363
1771325575.836716,Key.up,0.0302
1771325575.8670382,Key.up,0.0303
1771325575.8974624,Key.up,0.0304
1771325575.928431,Key.up,0.031
1771325575.958085,Key.up,0.0297
1771325575.988337,Key.up,0.0303
1771325576.019161,Key.up,0.0308
1771325576.0493567,Key.up,0.0302
1771325576.0800164,Key.up,0.0307
1771325576.1102705,Key.up,0.0303
1771325576.1401887,Key.up,0.0299
1771325576.1706455,Key.up,0.0305
1771325576.2010376,Key.up,0.0304
1771325576.2322998,Key.up,0.0313
1771325576.2616563,Key.up,0.0294
1771325576.2922897,Key.up,0.0306
1771325576.322502,Key.up,0.0302
1771325576.3527842,Key.up,0.0303
1771325576.3833094,Key.up,0.0305
1771325576.4134278,Key.up,0.0301
1771325576.4437273,Key.up,0.0303
1771325576.4837224,Key.up,0.04
1771325576.5140653,Key.up,0.0303
1771325576.5446117,Key.up,0.0305
1771325576.5749516,Key.up,0.0303
1771325576.605382,Key.up,0.0304
1771325576.6355782,Key.up,0.0302
1771325576.6660569,Key.up,0.0305
1771325576.696177,Key.up,0.0301
1771325576.72687,Key.up,0.0307
1771325576.756517,Key.up,0.0296
1771325576.794758,Key.up,0.0382
1771325576.8246934,Key.up,0.0299
1771325576.8545094,Key.up,0.0298
1771325576.884928,Key.up,0.0304
1771325576.9152768,Key.up,0.0303
1771325576.945742,Key.up,0.0305
1771325577.2381415,Key.up,0.2924
1771325577.7488494,Key.up,0.5107
1771325578.2594945,Key.up,0.5106
1771325578.2898786,Key.up,0.0304
1771325578.3205204,Key.up,0.0306
1771325578.351189,Key.up,0.0307
1771325578.3819573,Key.up,0.0308
1771325578.4098334,Key.up,0.0279
1771325578.4394102,Key.up,0.0296
1771325578.4696693,Key.up,0.0303
1771325578.5128329,Key.up,0.0432
1771325578.5435936,Key.up,0.0308
1771325578.5733814,Key.up,0.0298
1771325578.6037366,Key.up,0.0304
1771325578.634071,Key.up,0.0303
1771325578.6646838,Key.up,0.0306
1771325578.6952085,Key.up,0.0305
1771325578.725711,Key.up,0.0305
1771325578.7555375,Key.up,0.0298
1771325578.786623,Key.up,0.0311
1771325578.827188,Key.up,0.0406
1771325578.849179,Key.up,0.022
1771325578.8799255,Key.up,0.0307
1771325578.9103885,Key.up,0.0305
1771325578.9403083,Key.up,0.0299
1771325578.9706302,Key.up,0.0303
1771325579.001232,Key.up,0.0306
1771325579.0313215,Key.up,0.0301
1771325579.0619442,Key.up,0.0306
1771325579.092242,Key.up,0.0303
1771325579.1225693,Key.up,0.0303
1771325579.1528652,Key.up,0.0303
1771325579.184144,Key.up,0.0313
1771325579.2134788,Key.up,0.0293
1771325579.2444646,Key.up,0.031
1771325579.2749267,Key.up,0.0305
1771325579.3044963,Key.up,0.0296
1771325579.3350701,Key.up,0.0306
1771325579.3652692,Key.up,0.0302
1771325579.3960226,Key.up,0.0308
1771325579.4261513,Key.up,0.0301
1771325579.4566789,Key.up,0.0305
1771325579.4867277,Key.up,0.03
1771325579.5301514,Key.up,0.0434
1771325579.5604465,Key.up,0.0303
1771325579.590746,Key.up,0.0303
1771325579.6208897,Key.up,0.0301
1771325579.6515722,Key.up,0.0307
1771325580.0262449,Key.up,0.3747
1771325580.5523617,Key.up,0.5261
1771325580.582644,Key.up,0.0303
1771325580.6126654,Key.up,0.03
1771325580.6431315,Key.up,0.0305
1771325580.6845534,Key.up,0.0414
1771325580.714389,Key.up,0.0298
1771325580.7442188,Key.up,0.0298
1771325580.7748888,Key.up,0.0307
1771325580.804668,Key.up,0.0298
1771325580.8428648,Key.up,0.0382
1771325580.8705857,Key.up,0.0277
1771325580.901382,Key.up,0.0308
1771325580.9315789,Key.up,0.0302
1771325580.961596,Key.up,0.03
1771325580.9917755,Key.up,0.0302
1771325581.0225444,Key.up,0.0308
1771325581.052682,Key.up,0.0301
1771325581.0832248,Key.up,0.0305
1771325581.1151829,Key.up,0.032
1771325581.1444263,Key.up,0.0292
1771325581.1746886,Key.up,0.0303
1771325581.205014,Key.up,0.0303
1771325581.2356412,Key.up,0.0306
1771325581.2661078,Key.up,0.0305
1771325581.2964158,Key.up,0.0303
1771325581.326592,Key.up,0.0302
1771325581.3569844,Key.up,0.0304
1771325581.3871624,Key.up,0.0302
1771325581.4188478,Key.up,0.0317
1771325581.4488132,Key.up,0.03
