timestamp,key,time_diff
1771422635.63123,k,0.006
1771422635.6517801,f,0.0206
1771422635.7128408,d,0.0611
1771422635.7618017,g,0.049
1771422635.7648034,h,0.003
1771422635.8659737,d,0.1012
1771422635.8764567,s,0.0105
1771422635.997308,h,0.1209
1771422636.1122656,d,0.115
1771422636.1232646,f,0.011
1771422636.1457422,Key.space,0.0225
1771422636.2705402,Key.backspace,0.1248
1771422636.7900195,Key.backspace,0.5195
1771422636.8234644,Key.backspace,0.0334
1771422636.8571491,Key.backspace,0.0337
1771422636.8936589,d,0.0365
1771422636.9096577,u,0.016
1771422636.9542322,f,0.0446
1771422636.9600031,o,0.0058
1771422636.9689994,;,0.009
1771422637.0077531,g,0.0388
1771422637.1010666,h,0.0933
1771422637.1402311,d,0.0392
1771422637.1452317,f,0.005
1771422637.1933184,l,0.0481
1771422637.2817304,h,0.0884
1771422637.292318,j,0.0106
1771422637.3690033,d,0.0767
1771422637.373996,f,0.005
1771422637.489807,Key.backspace,0.1158
1771422637.9650695,x,0.4753
1771422637.9860253,l,0.021
1771422638.100624,v,0.1146
1771422638.1115136,h,0.0109
1771422638.1830962,x,0.0716
1771422638.20699,d,0.0239
1771422638.2478538,k,0.0409
1771422638.2538502,l,0.006
1771422638.3477044,g,0.0939
1771422638.375215,h,0.0275
1771422638.445417,i,0.0702
1771422638.4555178,l,0.0101
1771422638.510483,d,0.055
1771422638.6216369,j,0.1112
1771422638.6316326,Key.backspace,0.01
1771422639.0110967,c,0.3795
1771422639.119757,k,0.1087
1771422639.1342616,x,0.0145
1771422639.1372888,n,0.003
1771422639.2056742,f,0.0684
1771422639.244171,h,0.0385
1771422639.25501,g,0.0108
1771422639.3272932,x,0.0723
1771422639.329306,l,0.002
1771422639.336763,d,0.0075
1771422639.4374754,g,0.1007
1771422639.4404752,j,0.003
1771422639.4841118,h,0.0436
1771422639.5346968,p,0.0506
1771422639.6316183,u,0.0969
1771422639.7298524,Key.backspace,0.0982
1771422640.1212852,x,0.3914
1771422640.192296,b,0.071
1771422640.3104534,v,0.1182
1771422640.3280296,f,0.0176
1771422640.4042437,k,0.0762
1771422640.4142485,s,0.01
1771422640.4177084,h,0.0035
1771422640.4207072,z,0.003
1771422640.5296695,b,0.109
1771422640.5899734,g,0.0603
1771422640.633661,;,0.0437
1771422640.639657,o,0.006
1771422640.650901,u,0.0112
1771422640.7092462,x,0.0583
1771422640.7601094,g,0.0509
1771422640.8141108,n,0.054
1771422640.8402407,h,0.0261
1771422640.9172473,;,0.077
1771422640.92282,o,0.0056
1771422640.9388301,f,0.016
1771422641.0069594,g,0.0681
1771422641.0653358,h,0.0584
1771422641.1857092,f,0.1204
1771422641.239771,p,0.0541
1771422641.3224142,j,0.0826
1771422641.3323061,k,0.0099
1771422641.3981066,[,0.0658
1771422641.4327419,g,0.0346
1771422641.597063,h,0.1643
1771422641.6008143,Key.num_lock,0.0038
1771422641.6038408,Key.num_lock,0.003
1771422641.6172924,j,0.0135
1771422642.0795438,Key.backspace,0.4623
1771422642.3432112,Key.backspace,0.2637
1771422642.5320263,Key.num_lock,0.1888
1771422642.5340312,Key.num_lock,0.002
1771422642.7358112,Key.backspace,0.2018
1771422642.930627,Key.num_lock,0.1948
1771422642.9316192,Key.num_lock,0.001
1771422643.097777,Key.backspace,0.1662
1771422643.6185973,Key.backspace,0.5208
1771422643.6506138,Key.backspace,0.032
1771422643.6839685,Key.backspace,0.0334
1771422643.717555,Key.backspace,0.0336
1771422643.7513454,Key.backspace,0.0338
1771422643.7832794,Key.backspace,0.0319
1771422643.817248,Key.backspace,0.034
1771422643.8501165,Key.backspace,0.0329
1771422643.8851259,Key.backspace,0.035
1771422643.9183054,Key.backspace,0.0332
1771422643.950325,Key.backspace,0.032
1771422643.9853315,Key.backspace,0.035
1771422644.01632,Key.backspace,0.031
1771422644.0502403,Key.backspace,0.0339
1771422644.0835752,Key.backspace,0.0333
1771422644.1176896,Key.backspace,0.0341
1771422644.1506898,Key.backspace,0.033
1771422644.1839862,Key.backspace,0.0333
1771422644.2178304,Key.backspace,0.0338
1771422644.2493467,Key.backspace,0.0315
1771422644.2835228,Key.backspace,0.0342
1771422644.3169358,Key.backspace,0.0334
1771422644.3503127,Key.backspace,0.0334
1771422644.382413,Key.backspace,0.0321
1771422644.4172595,Key.backspace,0.0348
1771422644.450641,Key.backspace,0.0334
1771422644.4838438,Key.backspace,0.0332
1771422644.5161953,Key.backspace,0.0324
1771422644.5497293,Key.backspace,0.0335
1771422644.5824172,Key.backspace,0.0327
1771422644.6161811,Key.backspace,0.0338
1771422644.650112,Key.backspace,0.0339
1771422644.684661,Key.backspace,0.0345
1771422644.7165647,Key.backspace,0.0319
1771422644.7493274,Key.backspace,0.0328
